Fecha;Column 3;Column 4;Número
6/7/20;#FelizDomingo;http://twitter.com/search?q=%23FelizDomingo;41956
6/7/20;#FelizDomingo;http://twitter.com/search?q=%23FelizDomingo;42512
6/7/20;#FelizLunes;http://twitter.com/search?q=%23FelizLunes;10033
6/7/20;#FelizLunes;http://twitter.com/search?q=%23FelizLunes;12292
6/7/20;#FelizLunes;http://twitter.com/search?q=%23FelizLunes;15641
6/7/20;#FelizLunes;http://twitter.com/search?q=%23FelizLunes;25201
7/7/20;#FelizLunes;http://twitter.com/search?q=%23FelizLunes;52669
7/7/20;#FelizLunes;http://twitter.com/search?q=%23FelizLunes;49473
7/7/20;#FelizMartes;http://twitter.com/search?q=%23FelizMartes;11838
7/7/20;#FelizMartes;http://twitter.com/search?q=%23FelizMartes;14848
7/7/20;#FelizMartes;http://twitter.com/search?q=%23FelizMartes;19124
7/7/20;#FelizMartes;http://twitter.com/search?q=%23FelizMartes;23012
8/7/20;#FelizMartes;http://twitter.com/search?q=%23FelizMartes;44350
8/7/20;#FelizMartes;http://twitter.com/search?q=%23FelizMartes;44036
8/7/20;#FelizMartes;http://twitter.com/search?q=%23FelizMartes;41524
8/7/20;Felipe VI;http://twitter.com/search?q=%22Felipe+VI%22;13229
8/7/20;#FelizMiercoles;http://twitter.com/search?q=%23FelizMiercoles;10614
8/7/20;#FelizMiercoles;http://twitter.com/search?q=%23FelizMiercoles;13312
8/7/20;#FelizMiercoles;http://twitter.com/search?q=%23FelizMiercoles;17786
8/7/20;#FelizMiercoles;http://twitter.com/search?q=%23FelizMiercoles;22120
9/7/20;#FelizMiercoles;http://twitter.com/search?q=%23FelizMiercoles;46957
9/7/20;#FelizMiercoles;http://twitter.com/search?q=%23FelizMiercoles;44366
9/7/20;Felipe VI;http://twitter.com/search?q=%22Felipe+VI%22;10351
9/7/20;Felipe VI;http://twitter.com/search?q=%22Felipe+VI%22;11360
9/7/20;#FelizJueves;http://twitter.com/search?q=%23FelizJueves;10056
9/7/20;Felipe VI;http://twitter.com/search?q=%22Felipe+VI%22;12453
9/7/20;#FelizJueves;http://twitter.com/search?q=%23FelizJueves;12341
9/7/20;Felipe VI;http://twitter.com/search?q=%22Felipe+VI%22;13743
9/7/20;#FelizJueves;http://twitter.com/search?q=%23FelizJueves;15868
9/7/20;Felipe VI;http://twitter.com/search?q=%22Felipe+VI%22;15190
9/7/20;#FelizJueves;http://twitter.com/search?q=%23FelizJueves;19806
9/7/20;Felipe VI;http://twitter.com/search?q=%22Felipe+VI%22;18503
9/7/20;#FelizJueves;http://twitter.com/search?q=%23FelizJueves;23467
9/7/20;Felipe VI;http://twitter.com/search?q=%22Felipe+VI%22;20713
9/7/20;#FelizJueves;http://twitter.com/search?q=%23FelizJueves;27085
9/7/20;Felipe VI;http://twitter.com/search?q=%22Felipe+VI%22;22744
9/7/20;Felipe VI;http://twitter.com/search?q=%22Felipe+VI%22;24596
10/7/20;Felipe VI;http://twitter.com/search?q=%22Felipe+VI%22;32539
10/7/20;#FelizJueves;http://twitter.com/search?q=%23FelizJueves;46253
10/7/20;Felipe VI;http://twitter.com/search?q=%22Felipe+VI%22;32606
10/7/20;#FelizJueves;http://twitter.com/search?q=%23FelizJueves;47018
10/7/20;#FelizJueves;http://twitter.com/search?q=%23FelizJueves;47542
10/7/20;Felipe VI;http://twitter.com/search?q=%22Felipe+VI%22;32687
10/7/20;#FelizJueves;http://twitter.com/search?q=%23FelizJueves;47396
10/7/20;Felipe VI;http://twitter.com/search?q=%22Felipe+VI%22;32896
10/7/20;#FelizJueves;http://twitter.com/search?q=%23FelizJueves;46479
10/7/20;Felipe VI;http://twitter.com/search?q=%22Felipe+VI%22;33712
10/7/20;Felipe VI;http://twitter.com/search?q=%22Felipe+VI%22;34580
10/7/20;#FelizJueves;http://twitter.com/search?q=%23FelizJueves;44694
11/7/20;Felipe VI;http://twitter.com/search?q=%22Felipe+VI%22;24385
11/7/20;Felipe VI;http://twitter.com/search?q=%22Felipe+VI%22;24156
11/7/20;#FelizSabado;http://twitter.com/search?q=%23FelizSabado;11492
11/7/20;#FelizSabado;http://twitter.com/search?q=%22Feliz+S%C3%A1bado%22;11100
11/7/20;#FelizSabado;http://twitter.com/search?q=%23FelizSabado;14793
11/7/20;#FelizSabado;http://twitter.com/search?q=%23FelizSabado;18055
12/7/20;#FelizSabado;http://twitter.com/search?q=%23FelizSabado;36973
12/7/20;#FelizSabado;http://twitter.com/search?q=%23FelizSabado;37332
12/7/20;#FelizSabado;http://twitter.com/search?q=%23FelizSabado;37500
12/7/20;#FelizSabado;http://twitter.com/search?q=%23FelizSabado;36925
12/7/20;#FelizSabado;http://twitter.com/search?q=%23FelizSabado;35700
12/7/20;#FelizSabado;http://twitter.com/search?q=%23FelizSabado;34628
12/7/20;#FelizSabado;http://twitter.com/search?q=%23FelizSabado;33587
12/7/20;#FelizDomingo;http://twitter.com/search?q=%23FelizDomingo;10426
12/7/20;#FelizDomingo;http://twitter.com/search?q=%23FelizDomingo;13040
12/7/20;#FelizDomingo;http://twitter.com/search?q=%23FelizDomingo;16381
12/7/20;#FelizDomingo;http://twitter.com/search?q=%23FelizDomingo;20068
13/7/20;#FelizLunes;http://twitter.com/search?q=%23FelizLunes;13075
13/7/20;#FelizLunes;http://twitter.com/search?q=%23FelizLunes;17245
13/7/20;#FelizLunes;http://twitter.com/search?q=%23FelizLunes;21455
13/7/20;#FelizLunes;http://twitter.com/search?q=%23FelizLunes;25932
14/7/20;#FelizLunes;http://twitter.com/search?q=%23FelizLunes;48326
14/7/20;#FelizLunes;http://twitter.com/search?q=%23FelizLunes;49337
14/7/20;#FelizLunes;http://twitter.com/search?q=%23FelizLunes;50056
14/7/20;#FelizMartes;http://twitter.com/search?q=%23FelizMartes;11253
14/7/20;#FelizMartes;http://twitter.com/search?q=%23FelizMartes;14017
14/7/20;#FelizMartes;http://twitter.com/search?q=%23FelizMartes;17970
14/7/20;#FelizMartes;http://twitter.com/search?q=%23FelizMartes;21908
14/7/20;#FelizMartes;http://twitter.com/search?q=%23FelizMartes;25405
15/7/20;#FelizMartes;http://twitter.com/search?q=%23FelizMartes;43985
15/7/20;#FelizMartes;http://twitter.com/search?q=%23FelizMartes;44671
15/7/20;#FelizMiercoles;http://twitter.com/search?q=%23FelizMiercoles;12093
15/7/20;#FelizMiercoles;http://twitter.com/search?q=%23FelizMiercoles;15874
15/7/20;#FelizMiercoles;http://twitter.com/search?q=%23FelizMiercoles;20448
15/7/20;#FelizMiercoles;http://twitter.com/search?q=%23FelizMiercoles;24505
15/7/20;#FelizMiercoles;http://twitter.com/search?q=%23FelizMiercoles;27772
15/7/20;#FelizMiercoles;http://twitter.com/search?q=%23FelizMiercoles;31062
16/7/20;#FelizMiercoles;http://twitter.com/search?q=%23FelizMiercoles;44364
16/7/20;#FelizJueves;http://twitter.com/search?q=%23FelizJueves;12640
16/7/20;#FelizJueves;http://twitter.com/search?q=%23FelizJueves;15982
16/7/20;#FelizJueves;http://twitter.com/search?q=%23FelizJueves;19755
